Tip Matrice,Tip alocare,Nr threads,Timp executie
N=6 M=6 n=3 m=3, 0 ,0,0.0160666666666667
N=6 M=6 n=3 m=3, 0 ,2,1.39716
N=6 M=6 n=3 m=3, 0 ,4,1.59508
N=6 M=6 n=3 m=3, 0 ,8,1.93681333333333
N=6 M=6 n=3 m=3, 0 ,16,2.77996
N=6 M=6 n=3 m=3, 1 ,0,0.01102
N=6 M=6 n=3 m=3, 1 ,2,1.50426
N=6 M=6 n=3 m=3, 1 ,4,1.50656
N=6 M=6 n=3 m=3, 1 ,8,1.77006666666667
N=6 M=6 n=3 m=3, 1 ,16,2.79966666666667
N=10 M=10 n=3 m=3, 0 ,0,0.02812
N=10 M=10 n=3 m=3, 0 ,2,1.47024
N=10 M=10 n=3 m=3, 0 ,4,1.80117333333333
N=10 M=10 n=3 m=3, 0 ,8,2.13926
N=10 M=10 n=3 m=3, 0 ,16,2.81806666666667
N=10 M=10 n=3 m=3, 1 ,0,0.0283
N=10 M=10 n=3 m=3, 1 ,2,1.48226
N=10 M=10 n=3 m=3, 1 ,4,1.51859333333333
N=10 M=10 n=3 m=3, 1 ,8,2.13806
N=10 M=10 n=3 m=3, 1 ,16,2.97046666666667
N=1000 M=1000 n=5 m=5, 0 ,0,178.568933333333
N=1000 M=1000 n=5 m=5, 0 ,2,93.58858
N=1000 M=1000 n=5 m=5, 0 ,4,76.8400333333334
N=1000 M=1000 n=5 m=5, 0 ,8,76.1477466666667
N=1000 M=1000 n=5 m=5, 0 ,16,75.81612
N=1000 M=1000 n=5 m=5, 1 ,0,691.517133333333
N=1000 M=1000 n=5 m=5, 1 ,2,368.685266666667
N=1000 M=1000 n=5 m=5, 1 ,4,303.403933333333
N=1000 M=1000 n=5 m=5, 1 ,8,305.566066666667
N=1000 M=1000 n=5 m=5, 1 ,16,305.456266666667
N=10 M=10000 n=5 m=5, 0 ,0,17.1667933333333
N=10 M=10000 n=5 m=5, 0 ,2,12.03338
N=10 M=10000 n=5 m=5, 0 ,4,8.65256
N=10 M=10000 n=5 m=5, 0 ,8,8.91969333333333
N=10 M=10000 n=5 m=5, 0 ,16,9.40145333333333
N=10 M=10000 n=5 m=5, 1 ,0,69.60418
N=10 M=10000 n=5 m=5, 1 ,2,41.5888533333333
N=10 M=10000 n=5 m=5, 1 ,4,31.67846
N=10 M=10000 n=5 m=5, 1 ,8,31.9334066666667
N=10 M=10000 n=5 m=5, 1 ,16,32.5543466666667
N=10000 M=10 n=5 m=5, 0 ,0,35.9074733333333
N=10000 M=10 n=5 m=5, 0 ,2,24.40782
N=10000 M=10 n=5 m=5, 0 ,4,15.9087333333333
N=10000 M=10 n=5 m=5, 0 ,8,15.9845933333333
N=10000 M=10 n=5 m=5, 0 ,16,16.4087866666667
N=10000 M=10 n=5 m=5, 1 ,0,71.92208
N=10000 M=10 n=5 m=5, 1 ,2,42.93436
N=10000 M=10 n=5 m=5, 1 ,4,32.5053933333333
N=10000 M=10 n=5 m=5, 1 ,8,32.8530466666667
N=10000 M=10 n=5 m=5, 1 ,16,33.6895666666667
